,ID,System,t,Y,target,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,U1,U2,U3,U4,U5,U6,U7,U8
10,1426426225307976080!,system_01,0.0,0.796774,0.009819,0.466876,0.847941,0.992053,0.252474,0.952013,0.159384,0.813185,0.884762,0.076578,0.358639,0.015608,0.60884,0.790099,0.499172,0.852032870054245,1.5120817720890045,0.09374264441430569,1.285549372434616,0.021085684071294963,-0.6894077211618423,-0.13626221381127834,0.16049118153750896
11,1725500965340819083!,system_01,0.0,0.330975,0.033945,0.280596,0.809069,0.89489,0.051214,0.732081,0.933838,0.812037,0.58196,0.22884,0.10426,0.487591,0.810026,0.147987,0.687247,2.494532883167267,1.607129693031311,0.12127523496747017,-1.7794703841209412,0.5161992013454437,0.7558620274066925,-0.7793496996164322,-0.5358089879155159
12,1227785436887901721!,system_01,0.0,0.072254,2.289799,0.06964,0.392728,0.721601,0.351216,0.013522,0.915342,0.000143,0.37233,0.13328,0.281708,0.004124,0.250774,0.816821,0.320807,-0.7369293682277203,-1.1498673111200333,2.6545824706554413,1.9232410490512848,-2.3735310435295105,0.10840229317545891,0.6081361323595047,1.0022905096411705
13,822793673861517433!,system_01,0.0,0.298386,0.037551,0.002659,0.764677,0.235385,0.695019,0.988515,0.159511,0.323975,0.140949,0.664593,0.394305,0.752543,0.580388,0.598675,0.935378,2.0291102528572083,1.9340706765651703,-0.611454613506794,-1.406976729631424,0.26847410947084427,0.13009873032569885,-1.3995065689086914,-0.5257319509983063
14,266256462685782409!,system_01,0.0,3.3e-05,1.672372,0.565623,0.097419,0.096605,0.047298,0.263023,0.000623,0.28488,0.016552,0.178443,0.737448,0.486253,0.232308,0.108957,0.299391,0.3242744589224458,-0.5668570250272751,2.7738475501537323,1.8966273367404938,-2.2069613337516785,-0.4492870196700096,1.2761063873767853,1.336974874138832
15,252354283426368249!,system_01,0.0,0.616666,2.203451,0.002493,0.291215,0.256164,0.011141,4e-06,0.03361,0.433343,0.074397,0.365327,0.648446,0.170818,0.056111,0.002039,0.1754,0.11836510896682739,-0.7547860816121101,2.8416200280189514,2.0040608644485474,-1.834183394908905,-0.3750392533838749,1.4573222696781158,1.137929305434227
16,190607772783365203!,system_01,0.0,0.056478,0.017654,0.851301,0.435977,0.350978,0.04247,0.404026,0.069235,0.013992,0.01512,0.009247,0.042474,0.386583,0.755999,0.300752,0.007126,2.1286945044994354,2.5179260075092316,-0.5873768925666809,0.0007240325212478638,0.727654904127121,-0.5806645900011063,-0.8459155410528183,-0.6111536100506783
17,570688412708318002!,system_01,0.0,0.19413,1.446199,0.521778,0.645472,0.102389,0.001258,0.008428,0.146219,0.133019,0.464228,0.541455,0.506185,0.146467,0.457904,0.515983,0.051544,-0.5705234557390213,-0.5687597021460533,2.3255914747714996,1.1677156239748,-1.7557972520589828,-0.026272452902048826,0.3992609940469265,0.894052118062973
18,1800942757193794496!,system_01,0.0,0.654678,1.773176,0.627627,0.027133,0.084262,0.328983,0.208288,0.004409,0.632532,0.927597,0.754639,0.000358,0.110789,0.06365,0.465606,0.09704,-0.5574816716834903,-0.20811774022877216,4.101335108280182,2.3718916177749634,-2.5090444684028625,-0.08392791263759136,1.2601175606250763,1.7505506575107574
19,1586614462276024465!,system_01,0.0,0.699734,1.956891,0.403222,0.204272,0.312486,0.010301,0.106719,0.851966,0.091737,0.529406,0.013715,0.877914,0.716508,0.528674,0.210544,0.461773,-0.613841949030757,-2.0251000821590424,2.966838836669922,1.7819258868694305,-1.7228070199489594,0.19830428808927536,0.24406725261360407,1.2829423397779465
20,1991353620969095877!,system_01,0.0,0.007695,0.034362,0.152742,0.960465,0.499308,0.013849,0.860758,0.12697,0.033284,0.098582,0.87115,0.729273,0.836256,0.078766,0.181725,0.057928,1.3221246600151062,1.514392912387848,-1.0373079180717468,-0.7582530230283737,0.4650188162922859,-0.0667430441826582,-0.7092753052711487,-0.3266286700963974
21,1278803861997497577!,system_01,0.0,0.891503,2.857482,0.072588,0.720512,0.085036,0.681952,0.9071,0.183477,0.018503,0.609355,0.384335,0.000211,0.067033,0.0085,0.003081,0.061003,-0.3805723520927131,-0.40778493508696556,3.486663281917572,2.267692655324936,-3.5085686445236206,-0.22240374982357025,1.3183202892541885,1.8094502687454224
22,173857943162817342!,system_01,0.0,0.502496,0.013055,0.119601,0.126224,0.092892,0.84224,0.043073,0.240393,0.556965,0.021781,0.01488,0.127084,0.707506,0.514167,0.548339,0.70446,1.9527587294578552,2.0127290785312653,-0.4756469577550888,-1.266300082206726,0.3994695022702217,0.009195204300340265,-1.2820245027542114,-0.6877657622098923
23,2055094895030485534!,system_01,0.0,0.014074,0.031844,0.252575,0.359351,0.579663,0.61808,0.250523,0.020625,0.030231,0.186443,0.397406,0.139889,0.627886,0.633243,0.118,1e-06,2.0476695895195007,2.0197717249393463,-0.5343281552195549,-0.5751300230622292,0.57051220536232,-0.4977432191371918,-1.0417065918445587,-0.7801690846681595
24,631431375091341120!,system_01,0.0,0.907967,3.149865,0.024445,0.741869,0.042416,0.468469,0.263075,0.438545,0.472711,0.562983,0.843685,0.121808,0.269101,0.032948,0.230763,0.372224,0.41625842452049255,-1.4965213239192963,3.3247609734535217,1.7372313737869263,-1.6673241257667542,-0.21222349256277084,1.3186188489198685,1.4139956086874008
25,1866144399319419167!,system_01,0.0,0.500396,0.010363,0.32441,0.498599,0.042448,0.362096,0.632161,0.76667,0.00212,0.589802,0.066426,0.405394,0.019706,0.011346,0.472513,0.043314,2.0148292779922485,2.0793717205524445,-0.009916135109961033,-0.22406704723834991,0.4626035541296005,-0.49026112258434296,-0.3015160337090492,-0.1941051334142685
26,2209477762335801535!,system_01,0.0,0.161703,2.195852,0.32797,0.000785,0.041851,0.006687,0.440585,0.460838,0.855769,0.05997,0.367447,0.901928,0.004377,0.230899,0.314482,0.105356,-0.19884295761585236,-0.5765848308801651,3.1280285120010376,1.8118172734975815,-2.1412275433540344,-0.2680617570877075,0.7662500292062759,1.4791347086429596
27,2102778560859896286!,system_01,0.0,0.02222,1.399851,0.195398,0.081486,0.041887,0.002571,0.10519,0.509647,0.517999,0.139169,0.058626,0.887923,0.751084,0.063421,0.525926,0.036438,-0.5480651333928108,-1.1868961304426193,3.000944972038269,1.9207160472869873,-1.684355914592743,-0.4161093235015869,0.40120114939054474,1.2955750524997711
28,59188132106668322!,system_01,0.0,0.122071,1.08904,0.182434,0.958648,0.000882,0.699988,0.360987,0.019834,0.831222,0.579629,0.046265,0.798623,0.007848,0.132344,0.467531,0.488814,-1.02238230407238,-1.139495650306344,3.7287540435791016,2.6597353518009186,-3.171903073787689,-0.37112510949373245,1.0483449436724186,0.7467730045318604
29,257034746423376003!,system_01,0.0,0.772279,0.036692,0.078792,0.125002,0.115671,0.016193,0.181378,0.822216,0.225026,0.579955,0.663201,0.324483,0.382393,0.080709,0.019272,0.001385,2.5195857882499695,1.6796459555625916,-1.3260396420955658,-1.1574241071939468,0.4545452892780304,0.7519032210111618,-1.1484828889369965,-0.5912667959928513
30,270887834040052826!,system_01,0.0,0.032712,2.19628,0.623261,0.409426,0.462885,0.125074,0.010058,0.293904,0.307928,0.17859,0.846137,0.924412,0.39389,8.9e-05,0.062488,0.0,0.09935726597905159,-0.6130031943321228,3.2681486010551453,1.970643311738968,-2.5239820182323456,-0.3480135314166546,1.1049569100141525,1.3563166111707687
31,332046447675101980!,system_01,0.0,0.713446,3.498894,0.025749,0.417608,0.183017,0.739404,0.434901,0.722008,0.117642,0.238029,0.003804,0.299196,0.281987,0.070059,0.596225,0.146057,0.029630014672875404,-1.0176107053994201,4.272107541561127,1.877633735537529,-3.422948181629181,-0.31515904515981674,1.5204750150442123,2.4176457226276398
32,618437879262291236!,system_01,0.0,0.798732,4.803503,0.227273,0.355005,0.317471,0.006923,0.018904,0.889002,0.505654,0.426206,0.18138,0.033718,0.452125,0.942583,0.612584,0.567251,-0.3692220114171505,-1.137160263955593,4.171175479888916,2.5012729167938232,-3.5097750425338745,-0.6986742988228798,1.9187499284744263,1.9026933908462524
33,1905005998672306105!,system_01,0.0,0.044869,0.018689,0.440056,0.150747,0.170493,0.210039,0.070886,0.540956,0.038778,0.029098,0.17116,0.045234,0.62435,0.169029,0.002197,0.313354,2.3203346729278564,2.111017107963562,-1.3289811611175537,-1.392342358827591,0.8061375617980957,0.16062496695667505,-1.442436695098877,-0.8820497244596481
34,1331953068807062001!,system_01,0.0,0.118192,3.375662,0.375679,0.565201,0.859061,0.168914,0.855222,0.30892,0.957143,0.079705,0.08959,0.001206,0.328714,0.578959,0.671154,0.067486,-0.0694415345788002,-0.07495448552072048,4.0021451115608215,1.965941458940506,-3.4775330424308777,-0.24739300832152367,1.8081851303577423,2.2353525161743164
35,2058514981662024962!,system_01,0.0,0.120495,0.029529,0.32711,0.0586,0.032808,0.04158,0.25149,0.020426,0.215037,0.00053,0.516991,0.268758,0.760406,0.461003,0.139946,0.539304,1.7562901079654694,1.6754720211029053,-0.8491069227457047,-1.6839961409568787,0.9074318557977676,-0.021097014425322413,-0.9398626238107681,-0.8374168127775192
36,1292398018696546697!,system_01,0.0,0.348275,2.080853,0.250023,0.792292,0.07165,0.491066,0.83123,0.170857,0.126926,0.028449,0.030254,0.344704,0.249049,0.203087,0.0007,0.10285,-0.061731548979878426,-0.4770718812942505,2.2110835313796997,1.4801777303218842,-1.6046222150325775,0.07437059469521046,0.49886057898402214,0.8277055211365223
37,1238837688494221211!,system_01,0.0,0.034989,0.004142,0.114839,0.398711,0.334582,0.10448,0.85399,0.090477,0.051146,0.010706,0.083949,0.532947,0.623399,0.217862,0.763542,0.34334,1.4667923152446747,1.6230433285236359,-0.05458061397075653,-0.3067076653242111,0.3206222653388977,-0.4745849221944809,-0.6621526330709457,-0.23423001170158386
38,937260427695551939!,system_01,0.0,0.066238,1.43717,0.190966,0.472376,0.023373,0.206059,0.579162,0.309595,0.330035,0.734134,0.78118,0.32332,0.376107,0.11729,0.475809,0.057754,-0.6884572766721249,-1.0627214685082436,2.866659939289093,1.9310962557792664,-1.8706350177526474,-0.2940138727426529,0.5129720522090793,1.4646859616041183
39,1284430766925101036!,system_01,0.0,0.416246,0.037141,0.617565,0.41901,0.054475,0.297077,0.487493,0.920708,0.113075,0.689477,0.24864,0.078142,0.19797,0.605001,0.947471,0.680257,2.2746620178222656,2.0190656781196594,-0.585732489824295,-1.02474944293499,0.8603157997131348,-0.2064531221985817,-0.7131198048591614,-0.4158233106136322
40,893946277325712559!,system_01,0.0,0.149854,0.00473,0.142297,0.884186,0.073107,0.108279,0.372499,0.065837,0.098613,0.339652,0.144633,0.26389,0.228789,0.076132,0.554401,0.385812,1.0806356817483902,1.4069266319274902,0.1265010852366686,0.2804703861474991,0.3944966569542885,-0.8533879518508911,-0.2886869013309479,0.461762972176075
41,631310399204205853!,system_01,0.0,0.276489,0.031923,0.164484,0.062049,0.845126,0.169049,0.124863,0.000247,0.711303,0.465531,0.978001,0.531379,0.012423,0.302543,0.058375,0.055947,1.714358240365982,1.4819865226745605,-0.05482641700655222,-0.2469882257282734,0.17420796677470207,-0.7733561247587204,-0.18118178471922874,0.12337813526391983
42,681291497006906831!,system_01,0.0,0.118838,0.01897,0.689167,0.653045,0.165559,0.419699,0.026385,0.97669,0.885884,0.15915,0.341278,0.51818,0.175193,0.180229,0.774792,0.529047,1.8579232394695282,1.8156271576881409,-0.7031609565019608,-0.6200420260429382,0.3684467524290085,-0.8415215462446213,-0.31796061247587204,-0.323864733800292
43,183997408770362852!,system_01,0.0,0.006254,0.002186,0.003843,0.010949,0.829686,0.036186,0.165384,0.22351,0.052078,0.007865,0.056315,0.362761,0.676066,0.009989,0.000699,0.143535,1.7013791799545288,1.331605225801468,-0.7048525735735893,-0.9574189484119415,0.33964166045188904,-0.1767959799617529,-1.0377150177955627,-0.6813185065984726
44,1109002234389122135!,system_01,0.0,0.454061,3.864817,0.059408,0.621441,0.356295,0.39271,0.013341,1.5e-05,0.083855,0.026465,0.244724,0.03267,0.757559,0.527761,0.082168,0.366257,-0.46094339340925217,-0.4333847686648369,3.75852507352829,2.0748680233955383,-3.472014307975769,-0.8172187060117722,1.2301935106515884,2.0114762485027313
45,946019773774610891!,system_01,0.0,0.087945,0.002038,0.085639,0.302713,0.152731,0.009146,0.000314,0.464883,0.193622,0.06219,0.002598,0.954116,0.762883,0.047243,0.065163,0.058656,1.0111745446920395,0.8306577801704407,-0.1768946461379528,-0.5499767959117889,0.4714301973581314,0.12407867982983589,-0.3643229156732559,-0.20396480709314346
46,1539005801571085991!,system_01,0.0,0.065464,2.475425,0.958492,0.885931,0.02242,0.013665,0.829717,0.037251,0.033801,0.308636,0.822361,0.035689,0.123617,0.258268,0.017791,0.003352,0.2831369414925575,0.5196004509925842,2.251760184764862,1.246482014656067,-2.6890642046928406,-0.2673216834664345,1.0683821886777878,0.8689803406596184
47,1324723601630547068!,system_01,0.0,0.090653,2.479744,0.511041,0.534958,0.210498,0.064305,0.019711,0.394431,0.025433,0.047281,0.128513,0.063019,0.974554,0.441324,0.157466,0.069883,-0.027579556219279766,-0.8649937063455582,1.9720025658607483,0.9756258577108383,-1.4945520907640457,-0.034367455169558525,0.4903085380792618,1.0501800328493118
48,1195659096661481257!,system_01,0.0,0.766696,4.288489,0.007241,0.96532,0.991155,0.670845,0.04867,0.059769,0.152632,0.342815,0.774935,0.00495,0.449202,0.74781,0.004064,0.182963,-0.6652963049709797,-0.2635526591911912,4.106182217597961,1.6920017302036285,-3.473909616470337,0.3226074352860451,1.8484072983264923,1.7517654597759247
49,92279185686320024!,system_01,0.0,0.091928,0.002392,0.153596,0.475443,0.024414,0.629067,0.070403,0.150366,0.082485,0.662502,0.115608,0.83685,0.347617,0.005279,0.027853,0.182065,0.05746346013620496,-0.1579442396759987,0.1155892014503479,-0.05542419385164976,0.031198952347040176,0.062266348861157894,-0.042350742034614086,0.1844857893884182
50,735038519714300331!,system_02,0.0,0.233903,0.106783,0.000898,0.65061,0.033779,0.086652,0.499076,0.928785,0.389709,0.061289,0.07034,0.076441,0.241119,0.008645,0.295361,0.167409,2.869690477848053,1.874114453792572,-0.7403174117207527,-1.8996834754943848,0.5250074863433838,0.6087286360561848,-1.5390313267707825,-0.9072508066892624
51,531200888278661215!,system_02,0.0,0.031362,0.058243,0.923329,0.059114,0.029464,0.115335,0.2354,0.3688,0.116605,0.249389,0.447934,0.062816,0.005644,0.000439,0.744054,0.574704,1.8549602627754211,2.182285726070404,-0.5688093453645706,-0.877569779753685,0.8604306429624557,-0.6951130032539368,-0.20264716260135174,-0.28968676179647446
52,841152928550258995!,system_02,0.0,0.253797,0.093777,0.624623,0.385219,0.836151,0.237437,0.337328,0.395246,0.446816,0.89523,0.998491,0.062529,0.354015,5.8e-05,0.292378,0.089973,0.8277905434370041,1.052147537469864,-0.5726538598537445,0.034073563292622566,0.23166226223111153,-0.2557046636939049,-0.2921283086761832,-0.24413425475358963
53,1763517989130942973!,system_02,0.0,0.097514,0.036878,0.540549,0.603148,0.280338,0.128108,0.490185,0.871649,0.595933,0.993471,0.072974,0.584313,0.053452,0.148996,0.551359,0.89917,0.3140094242990017,0.02850296482210979,0.15506736561655998,-0.3890395984053612,0.16766666620969772,0.22726519033312798,0.16479744389653206,0.14382640458643436
54,561188703798813418!,system_02,0.0,0.420773,0.049953,0.832091,0.40333,0.115765,0.012745,0.617327,0.20986,0.069951,0.454785,0.259959,0.01736,0.041761,0.208839,0.756865,0.936232,1.8390032947063446,2.0232526063919067,-0.3050750605762005,-0.6393177807331085,0.6549583375453949,-0.7854965329170227,-0.2517808899283409,0.20139367878437042
55,114663615500119436!,system_02,0.0,0.234384,2.175758,0.823434,0.02376,0.470151,0.26455,0.0233,0.299844,0.397778,0.533718,0.247928,0.002834,0.33397,0.117907,0.734949,0.358273,-0.40885043423622847,-0.23847313970327377,3.8481920957565308,2.163215607404709,-2.965711861848831,-0.29107705503702164,1.4717864096164703,1.9787154793739319
56,1780725290719559909!,system_02,0.0,0.756893,2.58754,0.059427,0.38113,0.460659,0.208257,0.761707,0.649567,0.000723,0.568087,0.684293,0.719017,0.100587,0.220005,0.026308,0.687674,-0.3712405078113079,-1.0709564611315727,2.8489224314689636,1.3392948061227798,-2.518319934606552,0.07323478907346725,0.7796557210385799,0.7127516120672226
57,1544318751424380021!,system_02,0.0,0.007027,1.968676,0.024716,0.010921,0.10407,0.038806,0.899373,0.347145,0.003746,0.037361,0.011396,0.647826,0.735458,0.043729,0.379635,0.90237,0.05349643062800169,-0.5932563152164221,2.5094384253025055,2.207863301038742,-2.3845673501491547,-0.5041804611682892,1.3254240155220032,1.1040606051683426
58,573166239223212711!,system_02,0.0,0.776345,3.268578,0.656426,0.500088,0.400591,0.419489,0.869295,0.770693,0.44412,0.585643,0.820545,0.508059,0.42926,0.004544,0.528579,0.18401,0.27992184879258275,-1.1860665529966354,4.2878352999687195,2.3033774495124817,-2.372828722000122,-0.42115888744592667,1.8900829255580902,2.256106436252594
59,378322977078817808!,system_02,0.0,0.680251,0.058283,0.845646,0.012462,0.771211,0.046316,0.57316,0.022501,0.241047,0.12824,0.27482,0.352721,0.095172,0.008183,0.274759,0.044322,1.6274385154247284,1.6833770275115967,-0.7741417959332466,-0.1345276301726699,0.025483530000201426,-0.0999446278437972,-0.6428672671318054,0.029361059292568825
60,1161817298566072053!,system_02,0.0,0.326654,0.062088,0.106698,0.226767,0.006756,0.824143,0.314648,0.475489,0.831695,0.477376,0.416805,0.892837,0.581908,0.07882,0.274703,0.010473,0.5679836757481098,0.2857462838292122,0.09277052618563175,-0.3261604383587837,0.1489205714315176,-0.4718009144999087,-0.06154193356633186,0.12889799196273088
61,1465462753202708760!,system_02,0.0,0.103615,0.203354,0.977007,0.059546,0.356643,0.488607,0.109035,0.862842,0.381598,0.759832,0.825743,0.129457,0.006678,0.751217,0.314341,0.351259,1.3497611582279205,0.9059886634349823,-0.9580982178449631,-0.8480849415063858,0.723097488284111,0.2916538640856743,-0.0883990116417408,-0.5101188346743584
62,1445413811273302251!,system_02,0.0,0.3405,0.117431,0.177446,0.129104,0.172139,0.329473,0.011238,0.805725,0.427399,0.009211,0.008838,0.258876,0.807854,0.00016,0.55983,0.532616,1.9658315777778625,0.8203758597373962,-0.3512839339673519,-2.33442085981369,0.3852729760110378,0.8745248764753342,-0.7883307486772537,-1.0831333249807358
63,1135077431771152710!,system_02,0.0,0.139419,0.026063,0.038671,0.708388,0.005809,0.430707,0.169272,0.008928,0.473105,0.930861,0.004947,0.039477,0.011984,0.813378,0.197603,0.313721,1.207655355334282,1.3062603026628494,0.42871079593896866,0.598261758685112,0.4747987911105156,-0.7498839274048805,-0.06765099242329597,0.3324984908103943
64,1533714206733120293!,system_02,0.0,0.147623,2.865461,6e-06,0.332449,0.042334,0.168461,0.495992,0.062346,0.342389,0.084025,0.305708,0.360745,0.088267,0.09781,0.158654,0.929421,0.7495869658887386,-0.4143560603260994,3.5580647587776184,2.8937921822071075,-2.620624750852585,-0.8593747280538082,1.8842391073703766,1.5207505822181702
65,1247094493565606078!,system_02,0.0,1.3e-05,0.068213,0.194127,0.368044,0.655628,0.001198,0.02467,0.007551,0.904345,0.102287,0.324967,0.49404,0.012432,0.71114,0.34144,0.385824,1.4500732719898224,1.3717278838157654,-0.020552769245114177,-0.47474416345357895,0.4497656896710396,-0.5375799089670181,-0.4289202392101288,-0.2921563535928726
66,2279142527690334529!,system_02,0.0,0.921669,4.250229,0.160594,0.657835,0.4566,0.95676,0.005372,0.441095,0.00246,0.327486,0.76779,0.019614,0.099522,0.287583,0.154964,0.116195,0.07987475488334894,-0.6787733435630798,4.097265958786011,2.4738677740097046,-2.132504880428314,-0.30012764781713486,2.087771475315094,1.4957281351089478
67,1996398487493265638!,system_02,0.0,0.385939,2.435786,0.293377,0.000101,0.409641,0.036568,0.42946,0.124793,0.549143,0.921036,0.110956,0.075375,0.027744,0.929801,0.42227,0.016674,-0.360289728268981,-0.7272378448396921,4.736975193023682,2.7987301647663116,-3.920275568962097,-0.4767849998315796,1.2278056293725967,2.4604057371616364
68,220668347400992592!,system_02,0.0,0.218397,0.080539,0.603129,0.148155,0.347306,0.014759,0.316428,0.017004,0.366104,0.087988,0.910594,0.67006,0.51881,0.009282,0.507932,0.038431,1.3982351422309875,1.5536541640758514,-0.5518776848912239,-0.1558514516800642,0.23954939655959606,-0.4711800813674927,-0.27621540427207947,-0.06321385456249118
69,163920018553441940!,system_02,0.0,0.568202,0.435991,0.417655,0.104597,0.315286,0.003493,0.741756,0.871487,0.923436,0.001388,0.742039,0.049752,0.975122,0.000859,0.482168,0.15648,2.096640259027481,0.6860793232917786,-0.7028982639312744,-2.7047799825668335,0.02737939334474504,0.54611836373806,-1.2751688361167908,-1.1595841348171234
70,1741658748208163662!,system_02,0.0,0.38809,3.30474,0.768492,0.658393,0.368394,0.805163,0.314486,0.116208,0.143411,0.00715,0.946605,0.613562,0.522103,0.311683,0.012421,0.621665,0.3429768201895058,-0.610027089715004,2.9217091500759125,1.786616638302803,-2.196926936507225,-0.10788912500720471,1.4182254672050476,1.161256529390812
71,113689053003807912!,system_02,0.0,0.302055,0.118087,0.01316,0.676835,0.28848,0.193282,0.867046,0.778677,0.478473,0.200636,0.468166,0.117412,0.00206,0.009656,0.894936,0.493753,2.5123388469219208,1.5223766565322876,-1.2383621335029602,-1.1256797760725021,-0.032839474035426974,-0.19262986071407795,-1.299411579966545,-0.5732470601797104
72,1569565464110201729!,system_02,0.0,0.52996,0.109236,0.337182,0.468592,0.266261,0.008433,0.432462,0.209473,0.23129,0.709439,0.011378,0.002234,0.871828,0.860688,0.243912,0.273882,0.6497178077697754,0.4036850184202194,-0.07279581017792225,-0.6270810589194298,0.5380431488156319,0.46703052520751953,-0.19065266102552414,-0.28668589144945145
73,981827682812920198!,system_02,0.0,0.065932,2.474111,0.674688,0.877872,0.844589,0.303372,0.42866,0.005457,0.505596,0.59027,0.080144,0.165886,0.149688,0.493515,0.436306,0.820782,0.2485351823270321,-0.3644712883979082,4.6606839299201965,3.178618550300598,-3.940542757511139,-0.4791255220770836,2.083767533302307,2.218115419149399
74,670496551961626126!,system_02,0.0,0.00472,0.112448,0.050868,0.22349,0.211475,0.971134,0.550194,0.327319,0.41639,0.100618,0.357464,0.871573,0.805509,0.999635,0.000929,0.000339,1.3748496174812317,0.9472735971212387,-0.5748464092612267,-0.8891284763813019,0.7523550242185593,0.4901658222079277,-0.7645547538995743,-0.5550200268626213
75,1798099074490535835!,system_02,0.0,0.009626,0.139124,0.998519,2e-06,0.377154,0.371238,0.266191,0.321749,0.199747,0.010319,0.860579,0.808405,0.049783,0.350986,0.018947,0.29474,1.2112392336130142,1.4869385063648224,-1.5804676711559296,-0.4816006328910589,0.7733473181724548,0.09530699998140335,-0.4491649344563484,-0.4726861044764519
76,1373957052842272130!,system_02,0.0,0.008675,0.568322,0.940093,0.069849,0.01558,0.108218,0.121667,0.971089,0.310003,1.3e-05,0.972473,0.355201,0.035302,0.48339,0.254541,0.753861,1.3118607923388481,1.1475212126970291,-1.6317144855856895,-2.0899209678173065,0.9602499902248383,0.24068034440279007,-0.6492126286029816,-0.8035728335380554
77,778895052889390836!,system_02,0.0,0.046768,0.048458,0.175712,0.000876,0.570128,0.154478,0.548207,0.172023,0.664797,0.009205,0.090177,0.299496,0.126794,0.793433,0.885081,0.296861,2.069757968187332,1.58560511469841,-0.13835742324590683,-1.0924147963523865,0.5706144198775291,-0.510448269546032,-0.7346474975347519,-0.7479608505964279
78,1055113970128884864!,system_02,0.0,0.309152,0.03529,0.502234,0.123264,0.033265,0.668812,0.050721,0.001765,0.254621,0.001824,0.023981,0.063373,0.003561,0.150149,0.803565,0.966796,2.174911856651306,1.9846761226654053,-0.35892752930521965,-0.9387487769126892,0.3501451089978218,-0.8044096082448959,-0.713399276137352,0.030568331480026245
79,548668100328834890!,system_02,0.0,0.00378,2.645622,0.411722,0.894395,0.111542,0.918339,0.042909,0.49289,0.002275,0.909519,0.013787,0.000352,0.531306,0.125847,0.379271,0.971914,-0.13315919041633606,-0.2906886914279312,5.107751846313477,3.054347038269043,-4.364194691181183,-0.8105253726243973,2.2079155147075653,2.112789958715439
